2026-06-02 23:37:20.965 | INFO     | Main            | main.py:7 - Starting main agent...
2026-06-03 00:26:38.518 | INFO     | Main            | main.py:11 - 正在初始化 ValleyAgent...
2026-06-03 00:26:38.736 | INFO     | MaiAgent        | valley_agent.py:29 -  开始初始化。。。
2026-06-03 00:26:39.103 | INFO     | MaiAgent        | valley_agent.py:32 -  模型初始化成功。。。
2026-06-03 00:26:39.103 | INFO     | MaiAgent        | valley_agent.py:35 -  工具初始化成功。。。
2026-06-03 00:26:39.104 | INFO     | MaiAgent        | valley_agent.py:48 -  初始化完成。。。
2026-06-03 00:26:42.902 | ERROR    | MaiAgent        | valley_agent.py:74 -  agent run 失败: 'text'
2026-06-03 00:26:42.903 | ERROR    | MaiAgent        | valley_agent.py:75 -  query: 请介绍一下你自己。
2026-06-03 00:28:28.067 | INFO     | Main            | main.py:11 - 正在初始化 ValleyAgent...
2026-06-03 00:28:28.395 | INFO     | MaiAgent        | valley_agent.py:29 -  开始初始化。。。
2026-06-03 00:28:28.874 | INFO     | MaiAgent        | valley_agent.py:32 -  模型初始化成功。。。
2026-06-03 00:28:28.874 | INFO     | MaiAgent        | valley_agent.py:35 -  工具初始化成功。。。
2026-06-03 00:28:28.876 | INFO     | MaiAgent        | valley_agent.py:48 -  初始化完成。。。
2026-06-03 00:28:31.929 | ERROR    | MaiAgent        | valley_agent.py:74 -  agent run 失败: 'AIMessage' object is not subscriptable
2026-06-03 00:28:31.929 | ERROR    | MaiAgent        | valley_agent.py:75 -  query: 请介绍一下你自己。
2026-06-03 00:28:50.828 | INFO     | Main            | main.py:11 - 正在初始化 ValleyAgent...
2026-06-03 00:28:51.044 | INFO     | MaiAgent        | valley_agent.py:29 -  开始初始化。。。
2026-06-03 00:28:51.411 | INFO     | MaiAgent        | valley_agent.py:32 -  模型初始化成功。。。
2026-06-03 00:28:51.411 | INFO     | MaiAgent        | valley_agent.py:35 -  工具初始化成功。。。
2026-06-03 00:28:51.412 | INFO     | MaiAgent        | valley_agent.py:48 -  初始化完成。。。
2026-06-03 00:31:36.379 | INFO     | Main            | main.py:11 - 正在初始化 ValleyAgent...
2026-06-03 00:31:36.606 | INFO     | MaiAgent        | valley_agent.py:29 -  开始初始化。。。
2026-06-03 00:31:36.979 | INFO     | MaiAgent        | valley_agent.py:32 -  模型初始化成功。。。
2026-06-03 00:31:36.979 | INFO     | MaiAgent        | valley_agent.py:35 -  工具初始化成功。。。
2026-06-03 00:31:36.980 | INFO     | MaiAgent        | valley_agent.py:48 -  初始化完成。。。
2026-06-03 00:33:33.095 | INFO     | Main            | main.py:11 - 正在初始化 ValleyAgent...
2026-06-03 00:33:33.299 | INFO     | MaiAgent        | valley_agent.py:29 -  开始初始化。。。
2026-06-03 00:33:33.696 | INFO     | MaiAgent        | valley_agent.py:32 -  模型初始化成功。。。
2026-06-03 00:33:33.696 | INFO     | MaiAgent        | valley_agent.py:35 -  工具初始化成功。。。
2026-06-03 00:33:33.697 | INFO     | MaiAgent        | valley_agent.py:48 -  初始化完成。。。
